"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
47, 5.157054067000000e-01, -4.997747837000000e-01, 8.924207622099515e-01, -1.002998766120469e+00, 2.739412836164716e-01, 8.608563056706920e-03, -0.000000000000000e+00
4835, 5.078533774423379e-01, -4.999383206584071e-01, 8.924010968750125e-01, -1.003848684083581e+00, 2.833380495357420e-01, 4.352338598329639e-03, -0.000000000000000e+00
48, 5.000000000000000e-01, -5.000160335000000e-01, 8.923939503278161e-01, -1.004157551380031e+00, 2.940640700292725e-01, -2.230142795204241e-08, -0.000000000000000e+00
5047, 4.921465467283481e-01, -4.999383194672219e-01, 8.924016252068832e-01, -1.003825850058695e+00, 3.035418843325604e-01, -4.849310203967607e-03, -0.000000000000000e+00
49, 4.842945933000000e-01, -4.997651278000000e-01, 8.924231607844010e-01, -1.002895101905402e+00, 3.140407845404346e-01, -9.868921157940984e-03, -0.000000000000000e+00
3560, 4.764472306816073e-01, -4.994449589869085e-01, 8.924603330133729e-01, -1.001288551840015e+00, 3.234936835447719e-01, -1.532104026778589e-02, -0.000000000000000e+00
50, 4.686047137000000e-01, -4.990220367000000e-01, 8.925129230800770e-01, -9.990156567933942e-01, 3.337007021783494e-01, -2.099433138527556e-02, -0.000000000000000e+00
4543, 4.607710005623679e-01, -4.984587100283456e-01, 8.925818436607005e-01, -9.960369717274349e-01, 3.430253513789462e-01, -2.704961128964564e-02, -0.000000000000000e+00
51, 4.529457986000000e-01, -4.977872371000000e-01, 8.926674906157189e-01, -9.923353879109532e-01, 3.528740336875932e-01, -3.335601555061186e-02, -0.000000000000000e+00
3557, 4.451334186605047e-01, -4.969805411201898e-01, 8.927701522737163e-01, -9.878984440437225e-01, 3.619712039438892e-01, -4.000328983035653e-02, -0.000000000000000e+00
52, 4.373334050000000e-01, -4.960618316000000e-01, 8.928908993166654e-01, -9.826798662206998e-01, 3.713956744380444e-01, -4.691775475430843e-02, -0.000000000000000e+00
4592, 4.295499402205814e-01, -4.950119080154299e-01, 8.930292833515211e-01, -9.766990335831491e-01, 3.801631918969570e-01, -5.413729332711392e-02, -0.000000000000000e+00
53, 4.217827916000000e-01, -4.938473402000000e-01, 8.931871129755390e-01, -9.698777801959133e-01, 3.890961087143505e-01, -6.162636477842334e-02, -0.000000000000000e+00
4542, 4.140358958068983e-01, -4.925547409073205e-01, 8.933629886993177e-01, -9.622765907232554e-01, 3.974410274900309e-01, -6.939012678943156e-02, -0.000000000000000e+00
54, 4.063093066000000e-01, -4.911457895000000e-01, 8.935589928862250e-01, -9.538054673066411e-01, 4.058055391950741e-01, -7.741120533843483e-02, -0.000000000000000e+00
3883, 3.986067038777185e-01, -4.896114781144938e-01, 8.937736180501706e-01, -9.445295621293950e-01, 4.136286602043018e-01, -8.567620187633344e-02, -0.000000000000000e+00
55, 3.909283876000000e-01, -4.879598915000000e-01, 8.940093575391986e-01, -9.343411149475455e-01, 4.213583497229771e-01, -9.418444477774114e-02, -0.000000000000000e+00
4582, 3.832776397172477e-01, -4.861850374189065e-01, 8.942641038878301e-01, -9.233312085101386e-01, 4.285703740355705e-01, -1.029040225197344e-01, -0.000000000000000e+00
56, 3.756551147000000e-01, -4.842926263000000e-01, 8.945405121573664e-01, -9.113850934726915e-01, 4.355962378779306e-01, -1.118418405524985e-01, -0.000000000000000e+00
3696, 3.680637045427771e-01, -4.822787720199019e-01, 8.948361641820824e-01, -8.986072807674619e-01, 4.421147960052383e-01, -1.209564099400240e-01, -0.000000000000000e+00
57, 3.605043888000000e-01, -4.801476001000000e-01, 8.951540993189504e-01, -8.848664121391747e-01, 4.483794271408602e-01, -1.302660752973609e-01, -0.000000000000000e+00
4578, 3.529799840110529e-01, -4.778965525075587e-01, 8.954912008777717e-01, -8.702971881151005e-01, 4.541335487845249e-01, -1.397183534872796e-01, -0.000000000000000e+00
58, 3.454914987000000e-01, -4.755287467000000e-01, 8.958503615898468e-01, -8.547745874686812e-01, 4.595763200982680e-01, -1.493252688680509e-01, -0.000000000000000e+00
4577, 3.380413868096839e-01, -4.730427122506695e-01, 8.962290429537769e-01, -8.384083219309846e-01, 4.645133944953894e-01, -1.590438286253875e-01, -0.000000000000000e+00
59, 3.306309879000000e-01, -4.704406856000000e-01, 8.966301468879091e-01, -8.210729732196264e-01, 4.690910717379065e-01, -1.688831036532824e-01, -0.000000000000000e+00
4654, 3.232626139015005e-01, -4.677220289392729e-01, 8.970509480975752e-01, -8.028863261015752e-01, 4.731561661628915e-01, -1.787969339446409e-01, -0.000000000000000e+00
60, 3.159376979000000e-01, -4.648883640000000e-01, 8.974939142534077e-01, -7.837417300873266e-01, 4.768193913910685e-01, -1.887860993686581e-01, -0.000000000000000e+00
3547, 3.086583369446475e-01, -4.619397882616436e-01, 8.979566233936644e-01, -7.637438601695525e-01, 4.799677149429367e-01, -1.988109296391088e-01, -0.000000000000000e+00
61, 3.014261127000000e-01, -4.588774144000000e-01, 8.984413856514376e-01, -7.427928744885348e-01, 4.826745789584029e-01, -2.088718691091850e-01, -0.000000000000000e+00
4587, 2.942428841278572e-01, -4.557016669576465e-01, 8.989456057097724e-01, -7.210009402922091e-01, 4.848500899089159e-01, -2.189201770560211e-01, -0.000000000000000e+00
62, 2.871103883000000e-01, -4.524135589000000e-01, 8.994710676827384e-01, -6.982909497865512e-01, 4.865646371798153e-01, -2.289598864324553e-01, -0.000000000000000e+00
4614, 2.800304316390549e-01, -4.490137959964032e-01, 9.000148910135546e-01, -6.747873980264140e-01, 4.877439073173286e-01, -2.389410114589453e-01, -0.000000000000000e+00
63, 2.730047107000000e-01, -4.455033242000000e-01, 9.005792898240855e-01, -6.503945926703699e-01, 4.884468871871187e-01, -2.488761004061105e-01, -0.000000000000000e+00
4584, 2.660351043491327e-01, -4.418828211223864e-01, 9.011614675475337e-01, -6.252333988022672e-01, 4.886057264059323e-01, -2.587076197886357e-01, -0.000000000000000e+00
64, 2.591232061000000e-01, -4.381533264000000e-01, 9.017630426865094e-01, -5.992338662053326e-01, 4.882952645068618e-01, -2.684425725085554e-01, -0.000000000000000e+00
4680, 2.522706829117035e-01, -4.343157669886811e-01, 9.023819685136771e-01, -5.724844525810759e-01, 4.874530680043860e-01, -2.780370314901258e-01, -0.000000000000000e+00
65, 2.454793006000000e-01, -4.303710162000000e-01, 9.030199927269205e-01, -5.449096240100395e-01, 4.861286225549857e-01, -2.874956459994780e-01, -0.000000000000000e+00
4416, 2.387507267504527e-01, -4.263200877586975e-01, 9.036743354235280e-01, -5.166295253693592e-01, 4.842660906431605e-01, -2.967573780039991e-01, -0.000000000000000e+00
66, 2.320865989000000e-01, -4.221639930000000e-01, 9.043462791942132e-01, -4.875887242501829e-01, 4.819244812507287e-01, -3.058385630861136e-01, -0.000000000000000e+00
4597, 2.254885977428025e-01, -4.179036851127150e-01, 9.050333160061753e-01, -4.578956155583624e-01, 4.790471357519716e-01, -3.146755551942819e-01, -0.000000000000000e+00
67, 2.189583033000000e-01, -4.135403036000000e-01, 9.057361310632634e-01, -4.275205854042052e-01, 4.757143153815146e-01, -3.232951019777224e-01, -0.000000000000000e+00
4974, 2.124973825682759e-01, -4.090748647496053e-01, 9.064527383611434e-01, -3.965494670961036e-01, 4.718669883663561e-01, -3.316348231645940e-01, -0.000000000000000e+00
68, 2.061073929000000e-01, -4.045085012000000e-01, 9.071836850418499e-01, -3.649586136509179e-01, 4.675767886885276e-01, -3.397144015737485e-01, -0.000000000000000e+00
3667, 1.997899019071208e-01, -3.998423401830576e-01, 9.079277389487301e-01, -3.328012777630895e-01, 4.627953816492000e-01, -3.474774191671540e-01, -0.000000000000000e+00
69, 1.935465038000000e-01, -3.950774967000000e-01, 9.086849084029430e-01, -3.000770997996695e-01, 4.575865361041389e-01, -3.549404885586743e-01, -0.000000000000000e+00
4610, 1.873786704223832e-01, -3.902152025397310e-01, 9.094540245424418e-01, -2.668365969195556e-01, 4.519036368769828e-01, -3.620430080686557e-01, -0.000000000000000e+00
70, 1.812880039000000e-01, -3.852565884000000e-01, 9.102345028851211e-01, -2.331050299099207e-01, 4.458071128767123e-01, -3.688037294553869e-01, -0.000000000000000e+00
4611, 1.752759654035559e-01, -3.802029738907989e-01, 9.110252731584342e-01, -1.989286549807704e-01, 4.392575534950249e-01, -3.751627439048084e-01, -0.000000000000000e+00
71, 1.693440974000000e-01, -3.750554918000000e-01, 9.118252119179301e-01, -1.643560263836566e-01, 4.323197572905492e-01, -3.811411358963400e-01, -0.000000000000000e+00
4544, 1.634937533692831e-01, -3.698155567015904e-01, 9.126337025335101e-01, -1.294137943129013e-01, 4.249622380925595e-01, -3.866850923594187e-01, -0.000000000000000e+00
72, 1.577264965000000e-01, -3.644843100000000e-01, 9.134494922840001e-01, -9.415610024292470e-02, 4.172512065644415e-01, -3.918249359430271e-01, -0.000000000000000e+00
4575, 1.520436171609771e-01, -3.590631638605992e-01, 9.142717268832737e-01, -5.861986564629321e-02, 4.091563102309802e-01, -3.964970096086837e-01, -0.000000000000000e+00
73, 1.464466006000000e-01, -3.535534142000000e-01, 9.150993611492210e-01, -2.285026234707369e-02, 4.007373423018259e-01, -4.007373040844175e-01, -0.000000000000000e+00
3571, 1.409368693232129e-01, -3.479564170820603e-01, 9.159319336270535e-01, 1.313276599677276e-02, 3.919669138194221e-01, -4.044789067143288e-01, -0.000000000000000e+00
74, 1.355157048000000e-01, -3.422735928000000e-01, 9.167676513351226e-01, 4.925172834248024e-02, 3.829192329559958e-01, -4.077675275481517e-01, -0.000000000000000e+00
4718, 1.301844671329882e-01, -3.365062728245765e-01, 9.176068139915889e-01, 8.551957823746477e-02, 3.735580512796998e-01, -4.105380680130158e-01, -0.000000000000000e+00
75, 1.249445006000000e-01, -3.306559025000000e-01, 9.184469186037357e-01, 1.218281386037307e-01, 3.639570551572986e-01, -4.128282204403260e-01, -0.000000000000000e+00
3786, 1.197970212930766e-01, -3.247240289574871e-01, 9.192888189578138e-01, 1.582143093096744e-01, 3.540902036285498e-01, -4.145845669944522e-01, -0.000000000000000e+00
76, 1.147433966000000e-01, -3.187119960000000e-01, 9.201297974579786e-01, 1.945606383245091e-01, 3.440165996814324e-01, -4.158446313066518e-01, -0.000000000000000e+00
4411, 1.097847944595936e-01, -3.126213258321616e-01, 9.209707157299940e-01, 2.309043643332786e-01, 3.337175112684950e-01, -4.165482621482404e-01, -0.000000000000000e+00
